Name,ID,Height,Weight,Position,Height_inches,Archetype
Amir Coffey,1629599,6-7,210.0,Guard-Forward,79,Guard
Evan Turner,202323,6-6,220.0,Guard-Forward,78,Guard
Derek Hood,1967,6-8,222.0,Forward,80,Forward
Jack Eskridge,76682,6-5,200.0,Center,77,Center
Nate Hawthorne,76978,6-4,190.0,Guard,76,Guard
JJ Hickson,201581,6-9,242.0,Center-Forward,81,Center
Tomas Satoransky,203107,6-7,210.0,Guard,79,Guard
Jim Riffey,77959,6-4,200.0,Forward,76,Forward
Dave Magley,77442,6-8,202.0,Forward,80,Forward
Dick McGuire,77537,6-0,180.0,Guard,72,Guard
Fred Jones,2410,6-2,225.0,Guard,74,Guard
Bam Adebayo,1628389,6-9,255.0,Center-Forward,81,Center
Jodie Meeks,201975,6-4,210.0,Guard,76,Guard
Mark Sibley,78145,6-2,175.0,Guard,74,Guard
Rusty LaRue,1601,6-3,185.0,Guard,75,Guard
Calvin Natt,77691,6-6,220.0,Forward,78,Forward
Eric Dawson,201286,6-9,250.0,Forward,81,Forward
Edmond Sumner,1628410,6-4,196.0,Guard,76,Guard
Sasha Pavlovic,2562,6-7,235.0,Guard-Forward,79,Guard
Vassilis Spanoulis,2779,6-4,195.0,Guard,76,Guard
Frank Kaminsky,1626163,7-0,240.0,Forward-Center,84,Forward
Jordan Miller,1641757,6-5,194.0,Guard,77,Guard
Bo Erias,76679,6-3,220.0,Forward,75,Forward
Joe Ellis,76661,6-6,175.0,Forward,78,Forward
RayJ Dennis,1642484,6-2,180.0,Guard,74,Guard
A.J. English,76672,6-3,175.0,Guard,75,Guard
Dave Stallworth,78238,6-7,200.0,Forward,79,Forward
Jack Twyman,78388,6-6,210.0,Forward,78,Forward
Jeremy Lin,202391,6-3,200.0,Guard,75,Guard
Thanasis Antetokounmpo,203648,6-7,219.0,Forward,79,Forward
Alec Kessler,77251,6-11,230.0,Forward,83,Forward
Jaime Echenique,1630693,6-10,258.0,Center,82,Center
Terrence Jones,203093,6-9,252.0,Forward,81,Forward
Ward Williams,78573,6-4,195.0,Forward,76,Forward
Alando Tucker,201169,6-6,205.0,Forward,78,Forward
John Battle,174,6-2,175.0,Guard,74,Guard
Dru Smith,1630696,6-2,203.0,Guard,74,Guard
Naji Marshall,1630230,6-6,220.0,Forward,78,Forward
Walter Bond,1603,6-5,200.0,Guard,77,Guard
Dick Surhoff,78280,6-4,210.0,Forward,76,Forward
Harold Miner,114,6-5,210.0,Guard,77,Guard
Ziaire Williams,1630533,6-9,185.0,Forward,81,Forward
Kevin Porter,77876,6-0,170.0,Guard,72,Guard
Nate Williams,1631466,6-5,205.0,Guard,77,Guard
Doug Lee,77358,6-5,200.0,Guard,77,Guard
Allen Leavell,77353,6-1,170.0,Guard,73,Guard
Matt Bullard,672,6-10,229.0,Forward,82,Forward
Ty Jerome,1629660,6-5,195.0,Guard-Forward,77,Guard
Matisse Thybulle,1629680,6-5,201.0,Guard-Forward,77,Guard
Hersey Hawkins,765,6-3,200.0,Guard,75,Guard
Cat Barber,1627760,6-1,173.0,Guard,73,Guard
Marcus Bagley,1630542,6-6,217.0,Forward,78,Forward
James Edwards,229,7-1,252.0,Center,85,Center
Yuta Watanabe,1629139,6-9,215.0,Guard-Forward,81,Guard
Hubert Davis,93,6-5,183.0,Guard,77,Guard
Marcus Vinicius,200790,6-8,225.0,Forward,80,Forward
Walt Lemon Jr.,1627215,6-3,180.0,Guard,75,Guard
Dominick Barlow,1631230,6-8,215.0,Forward,80,Forward
Aaron Brooks,201166,6-0,161.0,Guard,72,Guard
Sergio Rodriguez,200771,6-3,176.0,Guard,75,Guard
Soumaila Samake,2066,6-10,240.0,Center,82,Center
Jim Reid,77935,6-6,210.0,Center,78,Center
Rod Hundley,77082,6-4,185.0,Guard,76,Guard
Gary Plummer,77865,6-9,215.0,Forward,81,Forward
Skeeter Henry,77003,6-7,190.0,Guard,79,Guard
Shawn Marion,1890,6-7,228.0,Guard-Forward,79,Guard
Orlando Johnson,203111,6-5,220.0,Guard,77,Guard
Jeff Sheppard,1852,6-3,190.0,Guard,75,Guard
Miye Oni,1629671,6-5,206.0,Guard-Forward,77,Guard
Denzel Valentine,1627756,6-4,220.0,Guard,76,Guard
Jacob Toppin,1631210,6-8,200.0,Forward,80,Forward
Brook Lopez,201572,7-1,282.0,Center,85,Center
Dennis Hamilton,76926,6-8,210.0,Forward,80,Forward
Paolo Banchero,1631094,6-10,250.0,Forward,82,Forward
Lucian Whitaker,78506,6-1,180.0,Guard,73,Guard
Lafayette Lever,77376,6-3,170.0,Guard,75,Guard
A.J. Wynder,78627,6-2,180.0,Guard,74,Guard
Leo Rautins,77916,6-8,215.0,Forward,80,Forward
Vic Bartolome,76118,7-0,230.0,Center,84,Center
Emanuel Leaks,77351,6-8,225.0,Center,80,Center
Darius Garland,1629636,6-1,192.0,Guard,73,Guard
M.L. Carr,76351,6-6,205.0,Forward,78,Forward
Will Conroy,101215,6-2,195.0,Guard,74,Guard
Mfiondu Kabengele,1629662,6-10,250.0,Center,82,Center
Ted 'Hound Dog' McClain,77510,6-1,180.0,Guard,73,Guard
Mark Landsberger,77334,6-8,215.0,Forward,80,Forward
Don Putman,77891,6-1,170.0,Guard,73,Guard
Paul Millsap,200794,6-7,257.0,Forward,79,Forward
Antonio Lang,226,6-8,205.0,Forward,80,Forward
Marko Milic,1527,6-6,235.0,Guard,78,Guard
Chima Moneke,1631320,6-5,223.0,Forward,77,Forward
Chris Crawford,1544,6-9,235.0,Forward,81,Forward
Marv Schatzman,78074,6-5,200.0,Forward,77,Forward
Dudley Bradley,76231,6-6,195.0,Guard,78,Guard
William Averitt,76076,6-2,170.0,Guard,74,Guard
Ryan Bowen,1763,6-9,218.0,Forward,81,Forward
Tyler Zeller,203092,6-11,250.0,Forward-Center,83,Forward
Dean Oliver,2352,5-11,175.0,Guard,71,Guard
